,time,S_C,I_C,S_N,I_N
391,585,57.86647148,2.182709557,648.307133,41.64368592
392,586.5,57.8581415,2.192103663,648.1254053,41.82434958
393,588,57.85003711,2.201535953,647.9427077,42.00571919
394,589.5,57.84215871,2.211006635,647.7590379,42.18779673
395,591,57.83450665,2.220515919,647.5743933,42.37058416
396,592.5,57.82708131,2.230064014,647.3887712,42.55408345
397,594,57.81988306,2.239651134,647.2021692,42.73829656
398,595.5,57.81291226,2.249277489,647.0145848,42.92322547
399,597,57.8061693,2.258943293,646.8260153,43.10887213
400,598.5,57.79965453,2.268648762,646.6364582,43.29523851
401,600,57.79336833,2.278394109,646.445911,43.48232656
402,601.5,57.78731106,2.288179552,646.2543711,43.67013825
403,603,57.78148309,2.298005308,646.0618361,43.85867553
404,604.5,57.77588478,2.307871595,645.8683033,44.04794035
405,606,57.77051651,2.317778634,645.6737702,44.23793468
406,607.5,57.76537864,2.327726644,645.4782343,44.42866045
407,609,57.76047152,2.337715848,645.281693,44.62011963
408,610.5,57.75579554,2.347746468,645.0841438,44.81231415
409,612,57.75135104,2.357818727,644.8855843,45.00524596
410,613.5,57.7471384,2.367932851,644.6860117,45.19891701
411,615,57.74315796,2.378089065,644.4854237,45.39332923
412,616.5,57.7394101,2.388287597,644.2838177,45.58848456
413,618,57.73589518,2.398528674,644.0811912,45.78438493
414,619.5,57.73261355,2.408812525,643.8775416,45.98103228
415,621,57.72956556,2.419139381,643.6728665,46.17842854
416,622.5,57.72675159,2.429509472,643.4671633,46.37657563
417,624,57.72417198,2.439923032,643.2604295,46.57547548
418,625.5,57.72182709,2.450380293,643.0526626,46.77513
419,627,57.71971728,2.46088149,642.8438601,46.97554112
420,628.5,57.7178429,2.471426858,642.6340195,47.17671075
421,630,57.7162043,2.482016635,642.4231383,47.3786408
422,631.5,57.71480183,2.492651057,642.2112139,47.58133318
423,633,57.71363585,2.503330365,641.998244,47.78478979
424,634.5,57.7127067,2.514054798,641.784226,47.98901254
425,636,57.71201473,2.524824597,641.5691574,48.19400332
426,637.5,57.7115603,2.535640005,641.3530357,48.39976402
427,639,57.71134375,2.546501265,641.1358585,48.60629654
428,640.5,57.71136542,2.557408621,640.9176232,48.81360276
429,642,57.71162565,2.56836232,640.6983275,49.02168456
430,643.5,57.7121248,2.579362608,640.4779688,49.23054382
431,645,57.7128632,2.590409733,640.2565446,49.44018242
432,646.5,57.71384119,2.601503945,640.0340526,49.65060222
433,648,57.71505912,2.612645494,639.8104903,49.86180509
434,649.5,57.71651732,2.62383463,639.5858552,50.0737929
435,651,57.71821613,2.635071608,639.3601448,50.28656748
436,652.5,57.72015589,2.646356681,639.1333567,50.50013071
437,654,57.72233692,2.657690103,638.9054886,50.71448442
438,655.5,57.72475957,2.669072132,638.6765378,50.92963046
439,657,57.72742416,2.680503023,638.4465021,51.14557067
440,658.5,57.73033103,2.691983037,638.2153791,51.36230686
441,660,57.73348051,2.703512433,637.9831662,51.57984089
442,661.5,57.73687291,2.715091471,637.7498611,51.79817456
443,663,57.74050858,2.726720414,637.5154613,52.01730969
444,664.5,57.74438783,2.738399525,637.2799646,52.23724809
445,666,57.74851098,2.750129069,637.0433684,52.45799157
446,667.5,57.75287836,2.761909311,636.8056704,52.67954193
447,669,57.7574903,2.773740519,636.5668682,52.90190096
448,670.5,57.7623471,2.785622961,636.3269595,53.12507045
449,672,57.76744908,2.797556906,636.0859418,53.34905218
450,673.5,57.77279657,2.809542624,635.8438129,53.57384793
451,675,57.77838987,2.821580389,635.6005703,53.79945947
452,676.5,57.7842293,2.833670472,635.3562117,54.02588857
453,678,57.79031516,2.845813148,635.1107347,54.25313697
454,679.5,57.79664778,2.858008694,634.8641371,54.48120644
455,681,57.80322744,2.870257385,634.6164165,54.71009871
456,682.5,57.81005446,2.882559499,634.3675705,54.93981553
457,684,57.81712915,2.894915317,634.1175969,55.17035862
458,685.5,57.8244518,2.907325119,633.8664934,55.40172971
459,687,57.83202272,2.919789186,633.6142576,55.63393052
460,688.5,57.8398422,2.932307803,633.3608872,55.86696276
461,690,57.84791054,2.944881252,633.1063801,56.10082812
462,691.5,57.85622803,2.95750982,632.8507338,56.33552831
463,693,57.86479497,2.970193794,632.5939462,56.57106502
464,694.5,57.87361164,2.982933462,632.336015,56.80743991
465,696,57.88267834,2.995729114,632.0769379,57.04465467
466,697.5,57.89199536,3.00858104,631.8167126,57.28271097
467,699,57.90156297,3.021489532,631.5553371,57.52161045
468,700.5,57.91138146,3.034454884,631.2928089,57.76135477
469,702,57.92145111,3.047477391,631.0291259,58.00194557
470,703.5,57.9317722,3.060557348,630.764286,58.24338448
471,705,57.942345,3.073695053,630.4982868,58.48567312
472,706.5,57.9531698,3.086890803,630.2311263,58.72881312
473,708,57.96424685,3.1001449,629.9628022,58.97280607
474,709.5,57.97557644,3.113457645,629.6933123,59.21765359
475,711,57.98715882,3.126829339,629.4226546,59.46335725
476,712.5,57.99899427,3.140260286,629.1508268,59.70991864
477,714,58.01108305,3.153750792,628.8778268,59.95733932
478,715.5,58.02342542,3.167301164,628.6036525,60.20562087
479,717,58.03602163,3.180911708,628.3283018,60.45476484
480,718.5,58.04887195,3.194582734,628.0517726,60.70477276
